"insCode","dEven","daily"
"17046694194148349","20180721","20230917"
"17049072597627993","20081126","20230917"
"17059960254855208","20230917","20230917"
"17080537778426884","20171213","20230917"
"17081426540353962","20180721","20230917"
"17093476882666751","20180721","20230917"
"17153727206566342","20100609","20230917"
"17156087488463779","20081126","20230917"
"17166179154270422","20220906","20230917"
"17172110902132641","20180721","20230917"
"17184779097179305","20121111","20230917"
"17185906359043494","20220906","20230917"
"17197203950543191","20171213","20230917"
"17200458201581900","20210511","20230917"
"17217689629682758","20180721","20230917"
"17226661368470120","20230227","20230917"
"17232252152159494","20230917","20230917"
"17237314339763699","20200614","20230917"
"17249155357009439","20180721","20230917"
"17254092857500587","20220418","20230917"
"17269972595370241","20230917","20230917"
"17278201956590234","20081126","20230917"
"17284166795866794","20230917","20230917"
"17294951120469927","20230315","20230917"
"17299508146321256","20180721","20230917"
"17318451171925318","20221012","20230917"
"17330546482145553","20230917","20230917"
"17387050605077928","20081126","20230917"
"17393119378053108","20090716","20230917"
"17402090607466366","20230430","20230917"
"17489918101053443","20220906","20230917"
"17520598803252970","20170419","20230917"
"17528249960294496","20230917","20230917"
"17590239042703095","20081126","20230917"
"17605403389426895","20220108","20230917"
"17617474823279712","20230917","20230917"
"17645323253056599","20180721","20230917"
"17649149765849787","20230717","20230917"
"17661113951261114","20230702","20230917"
"17758788623651072","20230515","20230917"
"17800036702302776","20230917","20230917"
"17806219904343709","20230903","20230917"
"17828928229984367","20180721","20230917"
"17833511227457172","20180721","20230917"
"17834623106317041","20230917","20230917"
"17861226991775136","20190128","20230917"
"17904282097680670","20180721","20230917"
"17914401175772326","20230328","20230917"
"17933573078185644","20230917","20230917"
"17939384202383793","20230917","20230917"
"17941426325664429","20221212","20230917"
"17962922465424480","20230717","20230917"
"18004480270695404","20230917","20230917"
"18007109712724189","20220906","20230917"
"18027801615184692","20230917","20230917"
"18063426072758458","20230917","20230917"
"18067743398074470","20210207","20230917"
"18079534829579164","20190907","20230917"
"18087422533472180","20081126","20230917"
"18093681647131179","20230917","20230917"
"18136496510495835","20180721","20230917"
"18154205800023055","20210524","20230917"
"18189314283954605","20171230","20230917"
"18303237082155264","20230917","20230917"
"18334800842514528","20230826","20230917"
"18346219759153870","20230917","20230917"
